TIME,JCMB WINDSPEED,JCMB WINDDIRECTION,KESTREL WINDSPEED,KESTREL WINDDIRECTION,ANEMOMETER 986 #TURNS,ANEMOMETER 986 LAT,ANEMOMETER 986 LON,ANEMOMETER 1280 #TURNS,ANEMOMETER 1280 LAT,ANEMOMETER 1280 LON
10:23:00,5.7,37,5.9,102,,,,,,
10:24:00,6.3,52,8.7,100,,,,,,
10:25:00,1.9,97,10.8,121,321,25440,70636,390,25441,70635
10:26:00,6.4,68,12.4,143,,,,,,
10:27:00,6.1,57,9.3,114,215,25415,70622,,,
10:28:00,8,43,10.3,111,,,,218,25448,70660
10:29:00,6.8,50,9.2,107,196,25395,70607,,,
10:30:00,6.7,57,8.4,108,,,,,,
10:31:00,7.8,58,9.9,112,147,25392,70638,170,25426,70659
10:32:00,3.2,50,7.2,110,,,,,,
10:33:00,5,58,7,114,,,,,,
10:34:00,7.1,39,8.4,115,108,25414,70598,220,25455,70677
10:35:00,5.7,61,6.4,112,,,,,,
10:36:00,6.9,62,5.8,119,,,,,,
10:37:00,5.4,39,5.6,110,,,,189,25488,70665
10:38:00,7.4,51,7,112,169,25478,70553,,,
10:39:00,3.2,69,7.4,109,,,,,,
10:40:00,4.4,37,5.4,118,125,25486,70500,154,25526,70662
10:41:00,6.1,33,4.5,113,,,,,,
10:42:00,5.9,44,6.6,111,,,,,,
10:43:00,2.8,107,7.7,106,165,25504,70524,164,25560,70666
10:44:00,5.5,49,5.1,108,,,,,,
10:45:00,5.3,75,5.6,113,137,25532,70526,,,
10:46:00,4.3,76,6.6,116,,,,,,
10:47:00,5.2,85,5.3,110,155,25557,70598,196,25600,70672
10:48:00,7.3,55,8.5,140,,,,,,
10:49:00,8.5,37,9.1,110,,,,,,
10:50:00,4.9,54,8,116,186,25531,70621,,,
10:51:00,11.2,42,9,113,,,,275,25601,70672
10:52:00,5.1,89,8.5,108,,,,,,
10:53:00,4.1,71,6.2,116,238,25577,70605,,,
10:54:00,4.2,62,6.9,121,,,,270,25668,70646
10:55:00,3.5,32,6.7,117,,,,,,
10:56:00,8.5,40,7.7,119,174,25597,70571,,,
10:57:00,8.5,46,6.8,113,,,,267,25693,70618
10:58:00,10.7,37,7.6,119,130,25641,70565,,,
10:59:00,5.2,37,8.2,117,,,,,,
11:00:00,4.4,58,7.4,113,168,25656,70582,207,25706,70641
11:01:00,6.1,49,7.6,122,,,,,,
11:02:00,4.4,65,6.7,117,132,25689,70530,,,
11:03:00,7.5,62,9.6,122,,,,172,25724,70664
11:04:00,8.5,37,7.7,117,,,,,,
11:05:00,2.6,70,7.2,122,,,,,,
11:06:00,6.6,40,7.3,115,265,25623,70474,183,25751,70662
11:07:00,5.5,67,4.8,120,,,,,,
11:08:00,7.1,66,9.1,123,,,,,,
11:09:00,1.4,54,8.7,121,,,,,,
11:10:00,5.6,32,7.4,113,78,25618,70535,108,25704,70705
11:11:00,3.3,65,6.8,119,,,,,,
11:12:00,8.2,42,8.1,119,,,,,,
11:13:00,2.7,37,7.4,120,,,,188,25651,70698
11:14:00,2.6,78,6.8,120,,,,,,
11:15:00,9.7,36,6.5,121,,,,,,
11:16:00,3.3,46,7.7,119,,,,,,
11:17:00,11.2,43,8.7,117,,,,267,25621,70653
